"(PDH-CSV 4.0) (","\\SOOJANG\Processor Information(_Total)\% Processor Utility","\\SOOJANG\Process(GhostWin.App)\% Processor Time"
"04/27/2026 08:37:54.088"," "," "
"04/27/2026 08:37:55.230","58.342849496940729637","104.52080305614528299"
"04/27/2026 08:37:56.256","32.608236631969091945","95.964710138562566044"
"04/27/2026 08:37:57.299","20.9606204518401249","109.36955099921938483"
"04/27/2026 08:37:58.342","19.59105776204838989","89.853149762629541897"
"04/27/2026 08:37:59.410","16.312333716833251174","59.981614845048234486"
"04/27/2026 08:38:00.457","13.735703760768416259","68.417461982974586476"
"04/27/2026 08:38:01.506","12.805625919797472889","47.827260180008416057"
"04/27/2026 08:38:02.558","16.670353410504102243","56.42460266626322607"
"04/27/2026 08:38:03.588","16.373902559903800835","78.893345324474495328"
"04/27/2026 08:38:04.635","15.807589895398606927","64.17158318494873015"
"04/27/2026 08:38:05.692","20.401987598356555509","59.1490188076844845"
"04/27/2026 08:38:06.716","17.867404791298778122","59.524076982421604498"
"04/27/2026 08:38:07.744","14.053402883976644944","60.759613774953002974"
"04/27/2026 08:38:08.785","26.783402824023735178","63.083158743181613204"
